course_id,title,level
79,Russian History: from Lenin to Putin,Beginner|Intermediate|Advanced
80,Packet Switching Networks and Algorithms,Beginner|Intermediate|Advanced
81,Transgender Medicine for General Medical Providers,Beginner|Intermediate|Advanced
82,Epigenetic Control of Gene Expression,Beginner|Intermediate|Advanced
83,Successful Interviewing,Beginner|Intermediate|Advanced
84,The hidden value � Lean in manufacturing and services,Beginner|Intermediate|Advanced
85,Mastering SQL Joins,Beginner|Intermediate|Advanced
86,Create a Database with the Modeling Tool in MySQL Workbench,Beginner|Intermediate|Advanced
87,Project Planning and Machine Learning,Beginner|Intermediate|Advanced
88,Build Random Forests in R with Azure ML Studio,Beginner|Intermediate|Advanced
89,"Introduction to CAD, CAM, and Practical CNC Machining",Beginner|Intermediate|Advanced
90,Problem Solving Using Computational Thinking,Beginner|Intermediate|Advanced
91,"Surveillance Systems: Analysis, Dissemination, and Special Systems",Beginner|Intermediate|Advanced
92,Control physics with C# in Unity,Beginner|Intermediate|Advanced
93,Create Relational Database Tables Using SQLiteStudio,Beginner|Intermediate|Advanced
94,Spacecraft Dynamics Capstone: Mars Mission,Beginner|Intermediate|Advanced
95,Guided Imagery,Beginner|Intermediate|Advanced
96,Making Architecture,Beginner|Intermediate|Advanced
97,Building Resilient Streaming Analytics Systems on GCP,Beginner|Intermediate|Advanced
98,Types of Conflict,Beginner|Intermediate|Advanced
99,Product Design: Designing a modern table lamp using SketchUp,Beginner|Intermediate|Advanced
100,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,Beginner|Intermediate|Advanced
101,The New Nordic Diet - from Gastronomy to Health,Beginner|Intermediate|Advanced
102,Voice Disorders: What Patients and Professionals Need to Know,Beginner|Intermediate|Advanced
103,Teaching Tips for Tricky English Grammar,Beginner|Intermediate|Advanced
104,"Learn to Teach Java:   Boolean Expressions, If Statements, and Iteration",Beginner|Intermediate|Advanced
105,Business Writing,Beginner|Intermediate|Advanced
106,Cyber Threats and Attack Vectors,Beginner|Intermediate|Advanced
107,Build a Table Layout App in Android Studio,Beginner|Intermediate|Advanced
108,Introduction to Genomic Technologies,Beginner|Intermediate|Advanced
109,Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),Beginner|Intermediate|Advanced
110,Big data and Language 2,Beginner|Intermediate|Advanced
111,Understanding the Australian economy: An introduction to macroeconomic and financial policies,Beginner|Intermediate|Advanced
112,Bayesian Statistics: Mixture Models,Beginner|Intermediate|Advanced
113,Networking and Security in iOS Applications,Beginner|Intermediate|Advanced
114,Improving Math Engagement with Prodigy,Beginner|Intermediate|Advanced
115,Molecular Evolution (Bioinformatics IV),Beginner|Intermediate|Advanced
116,Exception Handling in Python,Beginner|Intermediate|Advanced
117,FinTech Foundations and Overview,Beginner|Intermediate|Advanced
118,Information & Digital Literacy for University Success,Beginner|Intermediate|Advanced
119,Improving Classroom Management with Class Dojo,Beginner|Intermediate|Advanced
120,Managing Big Data with MySQL,Beginner|Intermediate|Advanced
121,"Risk, Return & Valuation",Beginner|Intermediate|Advanced
122,Managing Employee Performance,Beginner|Intermediate|Advanced
123,Channel Management and Retailing,Beginner|Intermediate|Advanced
124,Entrepreneurship II: Preparing for Launch,Beginner|Intermediate|Advanced
125,World Design for Video Games,Beginner|Intermediate|Advanced
126,Mathematics for Machine Learning: Linear Algebra,Beginner|Intermediate|Advanced
127,Free Speech on Campus Teach-Out,Beginner|Intermediate|Advanced
128,Real-Time Embedded Systems Concepts and Practices,Beginner|Intermediate|Advanced
129,Create a Virtual Classroom using Google Slides,Beginner|Intermediate|Advanced
130,Security and Privacy for Big Data - Part 1,Beginner|Intermediate|Advanced
131,"Disinformation, Misinformation, and Fake News Teach-Out",Beginner|Intermediate|Advanced
132,Teaching Intermediate Grammar Project,Beginner|Intermediate|Advanced
133,Introduction to Acoustics (Part 2),Beginner|Intermediate|Advanced
134,Qualitative Research Methods,Beginner|Intermediate|Advanced
135,The Rooseveltian Century,Beginner|Intermediate|Advanced
136,Analysis for Business Systems,Beginner|Intermediate|Advanced
137,Implementing SOLID Principles in C# with .NET Core,Beginner|Intermediate|Advanced
138,"History of Rock, Part Two",Beginner|Intermediate|Advanced
139,Device-based Models with TensorFlow Lite,Beginner|Intermediate|Advanced
140,Wireshark for Basic Network Security Analysis,Beginner|Intermediate|Advanced
141,Advanced Practice Provider/Physician Assistant: Opioid Use Disorder Medication Assisted Treatment Waiver Training (24hr),Beginner|Intermediate|Advanced
142,Setting Expectations & Assessing Performance Issues,Beginner|Intermediate|Advanced
143,Tracking Student Growth using Google Slides,Beginner|Intermediate|Advanced
144,The Teacher's Social and Emotional Learning,Beginner|Intermediate|Advanced
145,Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,Beginner|Intermediate|Advanced
146,The fundamentals of hotel distribution,Beginner|Intermediate|Advanced
147,Marketing in a Digital World,Beginner|Intermediate|Advanced
148,Bugs 101: Insect-Human Interactions,Beginner|Intermediate|Advanced
149,Analyze Website Visitors with Google Analytics Segments,Beginner|Intermediate|Advanced
150,Scandinavian Film and Television,Beginner|Intermediate|Advanced
151,Modern American Poetry,Beginner|Intermediate|Advanced
152,"Textual Elements of Design: Fonts, Typography, and Spacing",Beginner|Intermediate|Advanced
153,Marketing Analytics Capstone Project,Beginner|Intermediate|Advanced
154,Tell the Data Story with Survey Graphics in Google Slides,Beginner|Intermediate|Advanced
155,"Musicianship: Tensions, Harmonic Function, and Modal Interchange",Beginner|Intermediate|Advanced
156,User Experience Responsive Hero in XD for Beginners,Beginner|Intermediate|Advanced
157,"Internet History, Technology, and Security",Beginner|Intermediate|Advanced
158,Securing Digital Democracy,Beginner|Intermediate|Advanced
159,Guided Imagery,Beginner|Intermediate|Advanced
160,Teach English Now! Capstone Project 1,Beginner|Intermediate|Advanced
161,Teach English Now! Capstone Project 1,Beginner|Intermediate|Advanced
162,Our Energy Future,Beginner|Intermediate|Advanced
163,"Penetration Testing, Incident Response and Forensics",Beginner|Intermediate|Advanced
164,Building Resilient Streaming Analytics Systems on GCP,Beginner|Intermediate|Advanced
165,Web Application Development with JavaScript and MongoDB,Beginner|Intermediate|Advanced
166,Teaching Impacts of Technology: Global Society,Beginner|Intermediate|Advanced
167,Subsistence Marketplaces,Beginner|Intermediate|Advanced
168,Introduction to Game Design,Beginner|Intermediate|Advanced
169,Business Process Management in Healthcare Organizations,Beginner|Intermediate|Advanced
170,Career Planning:  A Pathway to Employment,Beginner|Intermediate|Advanced
171,Marketing Strategy for Entrepreneurs,Beginner|Intermediate|Advanced
172,"Sleep: Neurobiology, Medicine, and Society",Beginner|Intermediate|Advanced
173,Building Containerized Applications on AWS,Beginner|Intermediate|Advanced
174,Engagement & Nurture Marketing Strategies,Beginner|Intermediate|Advanced
175,When Disaster Meets Conflict,Beginner|Intermediate|Advanced
176,Introduction to Git and GitHub,Beginner|Intermediate|Advanced
177,Palo Alto Networks Cybersecurity Essentials II,Beginner|Intermediate|Advanced
178,Introduction to the Internet of Things and Embedded Systems,Beginner|Intermediate|Advanced
179,Using Python to Interact with the Operating System,Beginner|Intermediate|Advanced
180,Portfolio Optimization using Markowitz Model,Beginner|Intermediate|Advanced
181,Securing and Integrating Components of your Application,Beginner|Intermediate|Advanced
182,Construction Finance,Beginner|Intermediate|Advanced
183,The Finite Element Method for Problems in Physics,Beginner|Intermediate|Advanced
184,Russian company law. Formation of legal entities.,Beginner|Intermediate|Advanced
185,Forensic Accounting and Fraud Examination,Beginner|Intermediate|Advanced
186,Data Analytics Foundations for Accountancy I,Beginner|Intermediate|Advanced
187,Complex Retrieval Queries in MySQL Workbench,Beginner|Intermediate|Advanced
188,Standardisation & Technology,Beginner|Intermediate|Advanced
189,Precalculus: Mathematical Modeling,Beginner|Intermediate|Advanced
190,Account Management & Sales Force Design,Beginner|Intermediate|Advanced
191,Business Implications of AI: A Nano-course,Beginner|Intermediate|Advanced
192,Taxation of Business Entities II: Pass-Through Entities,Beginner|Intermediate|Advanced
193,Cancer Prevention Web-Based Activity,Beginner|Intermediate|Advanced
194,Engineering Design Process with Autodesk Fusion 360,Beginner|Intermediate|Advanced
195,Genomics for Law,Beginner|Intermediate|Advanced
196,Master Class for Corporate Entrepreneurs,Beginner|Intermediate|Advanced
197,AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,Beginner|Intermediate|Advanced
198,"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",Beginner|Intermediate|Advanced
199,Data Science in Stratified Healthcare and Precision Medicine,Beginner|Intermediate|Advanced
200,International Cyber Conflicts,Beginner|Intermediate|Advanced
201,App Design and Development for iOS,Beginner|Intermediate|Advanced
202,Introduction to the Arctic: Climate,Beginner|Intermediate|Advanced
203,Introduction to Programming with MATLAB,Beginner|Intermediate|Advanced
204,Pharmaceutical and Medical Device Innovations,Beginner|Intermediate|Advanced
205,Software Product Management Capstone,Beginner|Intermediate|Advanced
206,Data-driven Astronomy,Beginner|Intermediate|Advanced
207,Basics of Inclusive Design for Online Education,Beginner|Intermediate|Advanced
208,"Making Successful Decisions through the Strategy, Law & Ethics Model",Beginner|Intermediate|Advanced
209,Achieving Advanced Insights with BigQuery,Beginner|Intermediate|Advanced
210,Exploring Beethoven�s Piano Sonatas,Beginner|Intermediate|Advanced
211,Text Retrieval and Search Engines,Beginner|Intermediate|Advanced
212,Build a Twitter Clone Backend,Beginner|Intermediate|Advanced
213,Introduction to Ableton Live,Beginner|Intermediate|Advanced
214,Introduction to Ableton Live,Beginner|Intermediate|Advanced
215,Environmental Management & Ethics,Beginner|Intermediate|Advanced
216,Create a Buy Signal using RSI in R with the Quantmod Package,Beginner|Intermediate|Advanced
217,Seeing Through Photographs,Beginner|Intermediate|Advanced
218,Ebola: Essential Knowledge for Health Professionals,Beginner|Intermediate|Advanced
219,Excel Skills for Business: Intermediate II,Beginner|Intermediate|Advanced
220,"Understanding China, 1700-2000: A Data Analytic Approach, Part 1",Beginner|Intermediate|Advanced
221,Statistical Data Visualization with Seaborn,Beginner|Intermediate|Advanced
222,Professional Responsibility and Ethics for Accountants,Beginner|Intermediate|Advanced
223,Technical Writing,Beginner|Intermediate|Advanced
224,Hosting a Static Website (HTML/CSS/Javascript) in AWS S3,Beginner|Intermediate|Advanced
225,Project Management: The Basics for Success,Beginner|Intermediate|Advanced
226,API Design and Fundamentals of Google Cloud's Apigee API Platform,Beginner|Intermediate|Advanced
227,Data Analysis Using Pyspark,Beginner|Intermediate|Advanced
228,Introduction to Environmental Law and Policy,Beginner|Intermediate|Advanced
229,FPGA computing systems: Background knowledge and introductory materials,Beginner|Intermediate|Advanced
230,Researcher Management and Leadership Training,Beginner|Intermediate|Advanced
231,Introduction to TestNG and Integration with Selenium,Beginner|Intermediate|Advanced
232,Food & Beverage Management,Beginner|Intermediate|Advanced
233,Reproducible Research,Beginner|Intermediate|Advanced
234,Reproducible Research,Beginner|Intermediate|Advanced
235,Cyber Attack Countermeasures,Beginner|Intermediate|Advanced
236,Matrix Methods,Beginner|Intermediate|Advanced
237,"Penetration Testing, Incident Response and Forensics",Beginner|Intermediate|Advanced
238,Easing Physical Symptoms: It's Not Just Hospice Anymore,Beginner|Intermediate|Advanced
239,Hierarchical Clustering: Customer Segmentation,Beginner|Intermediate|Advanced
240,"Applied Plotting, Charting & Data Representation in Python",Beginner|Intermediate|Advanced
241,Deploy Models with TensorFlow Serving and Flask,Beginner|Intermediate|Advanced
242,Sport Sponsorship. Let them Play,Beginner|Intermediate|Advanced
243,Strategies for Teaching Perfect Tenses and Modals,Beginner|Intermediate|Advanced
244,Building Cloud Services with the Java Spring Framework,Beginner|Intermediate|Advanced
245,Social Media Management,Beginner|Intermediate|Advanced
